row_id,Prediction,Actual,Prediction
0,0.411614957,1,1
1,0.223321769,0,1
2,0.413593422,0,1
3,0.132990105,1,1
4,0.179407846,0,1
5,0.580382244,1,1
6,0.256225425,0,1
7,0.482232723,1,1
8,0.247106752,0,1
9,0.424982743,0,1
10,0.303104861,0,1
11,0.087241162,0,1
12,0.207369427,0,1
13,0.146243952,0,1
14,0.309777433,1,1
15,0.119558002,0,1
16,0.142892537,1,1
17,0.238474177,0,1
18,0.148073656,0,1
19,0.065296438,0,0
20,0.225871985,0,1
21,0.088790624,0,1
22,0.084164808,0,1
23,0.170481744,0,1
24,0.133924427,0,1
25,0.104075449,0,1
26,0.090298146,0,1
27,0.181597511,0,1
28,0.113314356,1,1
29,0.123945535,1,1
30,0.097629887,0,1
31,0.056913268,0,0
32,0.181501677,0,1
33,0.134567822,1,1
34,0.109909976,0,1
35,0.079995261,0,1
36,0.068598428,0,0
37,0.06525327,0,0
38,0.121961195,0,1
39,0.140381211,1,1
40,0.087875085,0,1
41,0.040419352,0,0
42,0.074604105,0,1
43,0.119729808,0,1
44,0.08922999,0,1
45,0.134254004,0,1
46,0.110724048,0,1
47,0.09378323,0,1
48,0.097790241,0,1
49,0.104775953,0,1
50,0.080073281,1,1
51,0.076910463,1,1
52,0.177056243,0,1
53,0.126570496,0,1
54,0.18587822,0,1
55,0.132402641,0,1
56,0.100527125,0,1
57,0.192187808,1,1
58,0.053961224,0,0
59,0.093700794,0,1
60,0.055632231,0,0
61,0.038851748,0,0
62,0.075013036,0,1
63,0.164241103,0,1
64,0.103782466,0,1
65,0.116129869,0,1
66,0.09799801,1,1
67,0.04923136,0,0
68,0.061659585,0,0
69,0.072032661,0,0
70,0.154452438,0,1
71,0.034320827,0,0
72,0.043574736,0,0
73,0.094632889,0,1
74,0.08106561,0,1
75,0.050088133,0,0
76,0.049207299,0,0
77,0.078966715,0,1
78,0.084417076,0,1
79,0.109799505,0,1
80,0.048725002,0,0
81,0.038616115,0,0
82,0.064295715,0,0
83,0.065876398,0,0
84,0.074710529,0,1
85,0.104081056,0,1
86,0.030962758,0,0
87,0.087911556,0,1
88,0.078654341,0,1
89,0.066815038,0,0
90,0.125490141,0,1
91,0.186061661,0,1
92,0.055994493,0,0
93,0.062400472,0,0
94,0.034900527,0,0
95,0.141505649,1,1
96,0.045715959,1,0
97,0.067833307,0,0
98,0.07728113,0,1
99,0.032542168,0,0
100,0.044720481,0,0
101,0.042496484,0,0
102,0.096837042,0,1
103,0.083238173,0,1
104,0.0526795,0,0
105,0.063007631,0,0
106,0.072136571,0,0
107,0.199664818,0,1
108,0.046769488,0,0
109,0.109784591,0,1
110,0.066501732,0,0
111,0.119039428,0,1
112,0.047086544,0,0
113,0.03866288,0,0
114,0.052412985,0,0
115,0.086543633,0,1
116,0.089874537,0,1
117,0.15380059,0,1
118,0.11283324,0,1
119,0.095328831,0,1
120,0.111523797,0,1
121,0.05726287,0,0
122,0.056153461,0,0
123,0.077032859,0,1
124,0.057381431,0,0
125,0.064947158,0,0
126,0.163190917,0,1
127,0.039510563,0,0
128,0.068376535,0,0
129,0.05280134,0,0
130,0.061514751,0,0
131,0.053394379,0,0
132,0.072465673,0,0
133,0.064666343,0,0
134,0.044003774,0,0
135,0.077658443,0,1
136,0.039779994,0,0
137,0.046593307,0,0
138,0.070175425,1,0
139,0.055006469,0,0
140,0.078091029,0,1
141,0.0711343,0,0
142,0.027064909,0,0
143,0.056202267,0,0
144,0.050070064,0,0
145,0.060869051,0,0
146,0.041048219,0,0
